BGM,REF
64,70
66,70
120,129
59,70
59,70
118,129
113,129
66,70
88,90
106,109
100,109
127,129
120,90
61,70
82,90
100,109
118,129
122,90
122,90
106,109
122,129
61,70
81,90
97,109
118,129
118,129
115,90
63,70
81,90
95,109
113,129
61,70
97,109
99,109
100,109
115,90
115,90
115,70
117,70
117,70
82,90
82,90
84,90
102,109
118,129
