BGM,REF
79,90
100,109
118,129
59,70
79,90
127,90
57,70
79,90
100,109
120,129
118,90
43,70
81,90
104,109
129,90
106,109
131,129
127,90
124,90
59,70
55,70
77,90
100,109
120,129
124,90
59,70
57,70
82,90
79,90
122,129
124,129
57,70
79,90
106,109
113,129
124,90
57,70
77,90
95,109
124,129
118,129
120,129
118,90
82,90
82,90
82,90
102,109
129,90
129,90
55,70
59,70
61,70
75,90
77,90
75,109
